dimensions,number_of_walks,walk_length,window_size,duration,f1_binary_lr,f1_macro_lr,f1_binary_xgb,f1_macro_xgb,duration_sd,f1_binary_lr_sd,f1_macro_lr_sd,f1_binary_xgb_sd,f1_macro_xgb_sd
128,1,32,2,0.7848600387573242,0.08601496178446587,0.4469692538313422,0.0,0.4865476395836927,0.005129172761431552,0.015155592702401972,0.018962846075991916,0.0,0.00038956931746305653
128,4,2,2,0.3079698085784912,0.09443253999175127,0.44968889740288304,0.0,0.4866451242280626,0.003523887122722359,0.016439429789288345,0.015629518644481838,0.0,0.00019460002872324634
128,4,4,2,0.4979672431945801,0.0810267549256562,0.44420180461310926,0.0,0.4867424242424242,0.03530795982717388,0.02952528655704344,0.018395031251656015,0.0,5.551115123125783e-17
128,4,8,2,0.8242392063140869,0.07973086515043146,0.43998290776321747,0.013793103448275858,0.4937312494119162,0.003986962193447652,0.03281907293686637,0.017398720441420296,0.027586206896551717,0.013977650338983882
128,4,16,2,1.5263453006744385,0.08693948045065872,0.44740688804794837,0.0,0.4866451242280626,0.03551284306655622,0.011031348755579541,0.007203189759181022,0.0,0.00019460002872324634
128,4,32,2,2.8790677547454835,0.10641201381184855,0.4554629702428514,0.0,0.4866451242280626,0.023037036317373617,0.01256251400274129,0.008719395458331985,0.0,0.00019460002872324634
128,8,2,2,0.551064920425415,0.07090764076554819,0.43447820101512863,0.0,0.486547824213701,0.03796428742978234,0.023112036465536133,0.008587538810596256,0.0,0.00023833538715145185
128,8,4,2,0.9260318279266357,0.08058077306672505,0.43736066581121086,0.0,0.4867424242424242,0.06945364468420798,0.016399397180349783,0.011393794415944989,0.0,5.551115123125783e-17
128,8,8,2,1.5890475749969482,0.0908964090061645,0.44421827984175144,0.0,0.4866451242280626,0.04168045269053287,0.016813313890864878,0.00984522179600838,0.0,0.00019460002872324634
128,8,16,2,3.0256911277770997,0.08912618844826525,0.4441575238204778,0.0,0.4867424242424242,0.05305072946383323,0.03319297137446989,0.025044249912785848,0.0,5.551115123125783e-17
128,8,32,2,5.729172325134277,0.09448169859384813,0.45272400827124937,0.0,0.4867424242424242,0.0821619280521169,0.023673829546340598,0.018812176947454292,0.0,5.551115123125783e-17
128,16,2,2,1.0047432422637939,0.09029700604187237,0.4474440291538371,0.0,0.4867424242424242,0.048959074059665104,0.02364759289502159,0.018261338888535796,0.0,5.551115123125783e-17
128,16,4,2,1.7018000125885009,0.08122615866544217,0.44140102222136895,0.0,0.4867424242424242,0.04916442860175062,0.029153496785679512,0.01909677534809551,0.0,5.551115123125783e-17
128,16,8,2,3.0818153858184814,0.08116168186843746,0.44746130645405247,0.0,0.4867424242424242,0.06370375064576425,0.02716978561669267,0.017308776436508397,0.0,5.551115123125783e-17
128,16,16,2,5.789443302154541,0.09939862077425667,0.442934006867159,0.0,0.4866451242280626,0.04444348193749984,0.01559227426582621,0.004465103826261613,0.0,0.00019460002872324634
128,16,32,2,11.300033378601075,0.08466784012839271,0.43184850548225356,0.0,0.486547824213701,0.07211815308164508,0.020781754506337655,0.01015690800838034,0.0,0.00023833538715145185
128,32,2,2,1.9148402690887452,0.08965764790764791,0.4421492161431069,0.0,0.4866451242280626,0.05472209382331247,0.02597420695984724,0.013608143114053287,0.0,0.00019460002872324634
128,32,4,2,3.3413655281066896,0.0848393370074628,0.43958576172603603,0.0,0.486547824213701,0.04742933658875642,0.019014478514151008,0.014156874643191824,0.0,0.00023833538715145185
128,32,8,2,6.036747646331787,0.07214180736628033,0.4350579913777766,0.0,0.4867424242424242,0.07018044878803817,0.00821789197721931,0.005034069307267065,0.0,5.551115123125783e-17
128,32,16,2,11.622762680053711,0.062371470670508945,0.4339689612225806,0.0,0.486547824213701,0.09323980831046376,0.0069911321330668455,0.009128805138460823,0.0,0.00023833538715145185
128,32,32,2,22.766302490234374,0.07682708140334213,0.4310696069735525,0.0,0.4867424242424242,0.12814727233271617,0.024476887519038426,0.019414631482388263,0.0,5.551115123125783e-17
256,1,2,2,0.144757080078125,0.07545785204594138,0.4583066878322632,0.0,0.4867424242424242,0.00842017730194029,0.024159916511229354,0.015360161131355007,0.0,5.551115123125783e-17
256,1,4,2,0.1852409839630127,0.07663077889869764,0.4603458441157051,0.0,0.4867424242424242,0.0016472926918224423,0.024098110946645376,0.014277839154840797,0.0,5.551115123125783e-17
256,1,8,2,0.2702692985534668,0.09901723191150089,0.4731734444686455,0.0,0.4866451242280626,0.0008177276602763125,0.03203118305940756,0.024037364717071845,0.0,0.00019460002872324634
256,1,16,2,0.44048213958740234,0.07018570912212813,0.45641214809803676,0.0,0.4867424242424242,0.0020711766651025994,0.022906233226349645,0.009193042704583347,0.0,5.551115123125783e-17
256,1,32,2,0.7863945960998535,0.08746263210524968,0.4662190927418187,0.0,0.4866451242280626,0.005556288605129573,0.030973875309836543,0.021036011087106208,0.0,0.00019460002872324634
256,4,2,2,0.31142392158508303,0.08057532200151044,0.45938696677240376,0.0,0.4866451242280626,0.005997483435872134,0.01596037871097003,0.006953519955716982,0.0,0.00019460002872324634
256,4,4,2,0.4976414680480957,0.08307727492633152,0.465599363908116,0.0,0.4866451242280626,0.03480514514653164,0.020630076783848216,0.012399229326606767,0.0,0.00019460002872324634
